,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,96.5133,60.6015,53.6423,48.0940,73.7891,38.6040,57.6736,48.3479,51.8535
2880-3360,92.2124,60.1860,56.7928,44.6630,92.8789,51.8808,60.4476,42.5102,51.1635
3360-3840,108.6308,56.2371,99.4257,47.0471,58.4500,48.8942,57.5183,45.9886,53.6916
3840-4320,100.7153,57.4931,70.9105,48.9586,66.1003,38.8474,28.5895,46.7451,51.3063
4320-4800,120.9463,58.8012,72.8113,47.9468,79.6271,54.0881,38.8196,50.5011,57.8483
4800-5280,115.6357,57.2165,59.7565,41.9517,31.7320,39.5340,52.8283,49.2084,50.2324
5280-5760,108.0062,60.1835,58.4505,45.3390,68.3564,43.7015,73.0331,48.7634,53.3711
5760-6240,113.0597,58.0950,25.3776,46.2064,57.4662,49.7649,65.8456,47.5103,52.6780
6240-6720,120.3422,60.0245,52.6987,44.4204,69.1110,45.5963,58.9886,51.9368,55.0088
6720-7200,113.0952,59.9012,75.5657,53.5727,75.7957,46.2747,65.1209,49.2413,56.5269
7200-7680,148.9553,59.0826,54.4222,45.2173,71.7899,49.5744,64.7047,56.1712,60.1486
7680-8160,105.2942,57.2660,55.7011,49.4556,76.2366,47.0009,78.7734,72.5299,61.0457
8160-8640,113.2479,60.7788,68.5020,48.1949,103.2493,48.1496,105.3414,119.2551,78.1150
8640-9120,118.8938,60.9926,64.4851,55.4850,87.2412,44.6028,214.2467,221.0010,106.6316
9120-9600,128.9391,62.4805,61.5713,55.1877,167.8480,45.4750,284.1434,257.9602,120.9826
