,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,96.5133,60.6015,53.6423,48.0940,73.7891,38.6040,57.6736,48.3479,51.8535
2880-3360,92.8278,60.7385,64.2820,43.7237,96.2123,42.7774,63.6764,40.0063,49.0929
3360-3840,109.8558,56.6830,94.7787,46.3349,64.2339,42.2466,62.5129,37.6352,50.8078
3840-4320,96.7673,56.9409,73.4169,48.8343,71.4182,32.4407,34.7797,40.2100,49.3568
4320-4800,121.6861,59.8320,69.0833,47.9583,83.4566,43.5878,43.7044,46.5392,54.8134
4800-5280,110.8808,58.6271,60.3200,42.0241,38.5434,36.8093,59.3121,43.2939,48.9905
5280-5760,88.0082,55.9116,67.8854,44.4250,77.1504,35.4854,84.1251,43.3750,49.6831
5760-6240,129.2770,55.2527,28.7326,47.2165,62.0162,40.9377,74.0801,36.9312,49.7312
6240-6720,107.5719,57.5497,114.7115,55.0633,74.0002,36.3636,70.2730,41.7890,55.8441
6720-7200,97.3283,62.6508,89.2004,59.8566,66.7815,39.3548,67.4738,42.6060,55.7680
7200-7680,147.4369,55.7315,55.7062,53.9082,71.9143,41.9380,77.9282,54.2031,60.4065
7680-8160,104.7073,60.6922,72.3595,51.6361,73.6565,39.3781,84.6084,62.2281,59.1853
8160-8640,112.4354,61.1784,122.5240,56.1317,80.0771,38.4224,80.3169,63.5881,63.2518
8640-9120,242.7903,86.7180,190.6620,67.0141,108.1829,32.0813,135.4492,68.8384,79.3549
9120-9600,484.1513,113.6443,266.5260,74.5947,275.2514,28.7607,267.7839,50.2908,96.8949
