,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,96.5133,60.6015,53.6423,48.0940,73.7891,38.6040,57.6736,48.3479,51.8535
2880-3360,92.2124,60.1860,56.7928,44.6630,92.8789,51.8808,60.4476,42.5102,51.1635
3360-3840,108.6308,57.2449,100.0685,47.0471,58.4500,47.4757,57.9510,45.9886,53.5811
3840-4320,101.6752,57.6213,72.3305,48.8599,65.5418,38.8221,26.3123,46.7446,51.2581
4320-4800,116.1862,58.4268,75.2710,47.9468,79.2937,54.1013,29.3369,50.6138,57.5235
4800-5280,114.8058,59.0312,63.2171,41.9557,31.7335,38.7828,52.9651,48.6388,50.4492
5280-5760,110.7032,58.9281,71.3303,42.6077,67.7589,42.9017,73.0825,47.9873,52.5867
5760-6240,114.8982,58.7611,31.3772,44.6062,56.5912,48.8986,65.1928,46.5391,52.1387
6240-6720,130.0580,61.3585,90.6116,41.9746,68.1140,47.4169,58.3016,51.7783,56.6601
6720-7200,122.7116,59.6841,82.2080,51.6219,68.9298,48.2135,64.2458,48.3648,56.7033
7200-7680,182.9327,61.4713,61.7344,42.3299,71.5092,50.2645,72.3804,54.3543,60.7920
7680-8160,156.3260,58.3052,77.6118,47.7099,78.4208,47.4087,81.5578,69.9746,64.6594
8160-8640,119.6898,56.2121,126.4312,46.2111,124.5595,48.3285,87.6932,99.7315,76.0843
8640-9120,99.9941,57.1738,213.8836,72.1665,128.1675,46.3754,215.9555,201.3801,117.3496
9120-9600,143.9041,71.0690,306.6086,167.6261,202.3740,77.6546,319.4207,238.5659,164.9933
