,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,29.1209,29.1147,39.6603,39.6906,30.6908,30.5374,38.1680,38.4702,34.4316
2880-3360,24.8312,24.9306,36.5048,36.5352,31.4492,31.9339,32.9228,33.6909,31.5998
3360-3840,29.6362,29.8530,41.9147,41.9450,31.1888,31.3407,32.2698,33.8306,33.9973
3840-4320,34.2093,34.1156,47.2765,47.3068,31.7986,31.7127,25.3116,26.0848,34.7270
4320-4800,43.6929,43.5648,42.7947,43.3497,33.4975,33.2565,33.9556,34.6356,38.5934
4800-5280,31.6369,31.6943,42.9325,42.9629,25.0854,25.4922,33.2035,33.8513,33.3574
5280-5760,31.6703,31.6303,34.6132,34.6806,26.8511,26.6022,36.4430,37.0478,32.4423
5760-6240,35.6945,36.2055,36.9023,36.9315,36.3160,36.1206,43.0972,43.7527,38.1275
6240-6720,51.1216,51.0211,48.6793,48.7097,45.9267,45.6725,57.4277,57.8152,50.7967
6720-7200,41.9104,42.4598,61.5330,61.5634,49.2277,49.3656,48.2228,48.4547,50.3422
7200-7680,76.0017,76.1199,46.1411,46.1714,45.8622,45.6080,66.7400,66.9701,58.7018
7680-8160,48.7763,48.7624,60.8847,60.9151,50.6984,50.5575,100.3552,100.5854,65.1919
8160-8640,59.8301,59.9687,56.9630,56.9934,65.8791,65.6249,198.0243,198.2544,95.1922
8640-9120,55.0606,55.4187,70.2275,70.2579,69.1274,68.8732,388.1247,388.3549,145.6806
9120-9600,61.2134,61.3438,66.7150,66.7453,101.7101,101.4421,452.0219,452.2323,170.4280
