,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,29.1209,29.1147,39.6603,39.6906,30.6908,30.5374,38.1680,38.4702,34.4316
2880-3360,22.6925,22.7948,36.8285,36.8588,30.7815,31.2810,31.4836,32.2496,30.6213
3360-3840,25.8238,26.9852,44.1965,44.2269,30.1466,30.2943,27.0945,28.1819,32.1187
3840-4320,37.5000,37.7954,49.7283,49.8499,33.8244,33.7343,20.8942,21.6529,35.6224
4320-4800,42.6821,42.9362,40.2675,41.9018,35.5461,35.2919,31.1064,31.9574,37.7112
4800-5280,29.3473,29.2836,41.9119,41.9423,28.1960,28.5748,31.4348,32.1219,32.8516
5280-5760,33.1351,33.7643,30.9706,31.6051,27.8226,27.5689,36.3304,36.7250,32.2403
5760-6240,37.4141,37.2695,37.2167,38.4536,33.4407,33.1865,36.2909,37.0062,36.2848
6240-6720,61.3434,61.2005,56.4401,56.4888,43.3551,43.1046,44.9015,45.1316,51.4957
6720-7200,54.8698,54.7844,56.0445,56.4601,42.6039,42.8483,46.8779,47.2248,50.2142
7200-7680,62.4253,62.2806,43.9022,44.3820,38.7628,39.1561,70.6363,70.8665,54.0515
7680-8160,40.8514,40.7158,72.1079,72.3099,48.6977,48.5695,98.1447,98.3748,64.9715
8160-8640,75.1982,75.4739,69.3617,69.3921,51.7524,51.4981,112.9510,113.1811,77.3511
8640-9120,159.1583,159.0137,67.4073,67.4373,49.3888,49.1346,130.7245,130.9547,101.6524
9120-9600,244.0299,243.8852,71.2887,71.3190,53.7791,53.5249,92.8000,93.1221,115.4686
