,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,29.1209,29.1147,39.6603,39.6906,30.6908,30.5374,38.1680,38.4702,34.4316
2880-3360,24.8312,24.9306,36.5048,36.5352,31.4492,31.9339,32.9228,33.6909,31.5998
3360-3840,29.6756,29.8921,41.9569,41.9872,29.8750,30.1921,32.3832,33.9450,33.7384
3840-4320,33.8747,33.9096,47.8769,47.9073,31.5875,31.5016,25.4524,26.2266,34.7921
4320-4800,40.0828,40.0117,43.1693,43.7245,33.4385,33.1975,34.0729,34.7382,37.8044
4800-5280,32.8896,33.0065,43.9310,43.9614,25.2098,25.6166,33.0664,33.6748,33.9195
5280-5760,34.1393,34.1346,34.7833,34.8126,26.3775,26.3219,37.3417,37.9472,33.2323
5760-6240,36.9154,36.7949,36.7411,36.7702,35.9254,35.7305,42.3784,43.0342,38.0363
6240-6720,60.0355,59.8980,53.8150,53.8453,46.3214,46.0672,55.8487,56.2359,54.0084
6720-7200,49.6028,49.4717,61.8110,61.8414,49.8302,49.8146,48.6067,48.8386,52.4771
7200-7680,102.8299,102.6861,45.8275,45.8579,45.1917,46.0061,65.1177,65.3478,64.8581
7680-8160,62.7304,62.5768,62.8520,62.8823,51.6928,51.5328,95.1690,95.3991,68.1044
8160-8640,48.1532,48.0239,82.0416,82.0720,72.2671,72.0129,166.5060,166.7362,92.2266
8640-9120,36.4209,36.5875,143.9587,143.9890,97.0327,96.7785,342.8827,343.0988,155.0936
9120-9600,78.1718,78.0712,185.9520,185.9824,123.8960,123.6418,452.5619,452.6610,210.1172
