,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,168.1245,129.9179,106.8026,102.4943,117.5876,85.2569,110.5045,104.4144,115.6378
2880-3360,163.1529,128.8578,110.1166,99.1350,139.7450,98.1584,112.3442,99.5193,118.8787
3360-3840,180.4539,124.3041,153.2525,101.4305,104.2507,96.0602,108.7707,101.6307,121.2691
3840-4320,172.5336,126.0555,124.0905,103.8745,112.5458,85.9970,79.0357,102.1824,113.2894
4320-4800,190.6148,126.1523,128.2029,102.2677,124.4838,101.3083,93.0272,105.8817,121.4923
4800-5280,185.1255,126.7258,113.2396,97.1504,77.2347,86.9405,106.5254,105.0066,112.2436
5280-5760,178.1857,129.9816,112.6074,99.9207,112.4379,90.1432,126.8551,104.5106,119.3303
5760-6240,183.4147,126.5385,82.1552,100.9213,102.6757,96.2839,119.1101,104.1638,114.4079
6240-6720,190.0505,129.9217,108.2287,98.3124,114.9818,92.4377,111.5876,107.8027,119.1654
6720-7200,180.4882,128.7051,130.7347,107.6638,122.2207,94.0869,116.5784,105.3913,123.2336
7200-7680,218.8050,126.6719,110.2261,99.5877,118.2342,95.5092,117.5986,112.7303,124.9204
7680-8160,175.2867,126.7286,108.6076,104.0089,121.3168,93.2910,133.3138,129.3343,123.9860
8160-8640,182.0907,129.6947,123.8686,102.2449,148.4179,94.5995,159.9088,174.7091,139.4418
8640-9120,188.1037,129.2783,118.7992,110.1772,132.8249,91.7060,268.3564,277.4780,164.5905
9120-9600,198.5837,131.5773,114.9458,109.6939,214.7896,92.2002,337.8166,313.9451,189.1940
