,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,168.1245,129.9179,106.8026,102.4943,117.5876,85.2569,110.5045,104.4144,115.6378
2880-3360,160.0760,129.1442,114.8869,101.0825,142.4116,94.5220,110.4183,96.5178,118.6324
3360-3840,162.6662,130.4018,143.3239,109.9898,109.6796,91.4011,108.1434,91.3483,118.3692
3840-4320,177.1372,125.9382,122.9335,111.3246,117.2843,86.2285,77.4117,93.0675,113.9157
4320-4800,190.6058,127.9603,131.9171,104.1426,127.5261,100.3112,91.4724,100.6521,121.8234
4800-5280,179.4385,129.9052,115.1069,97.1898,81.2669,91.8023,106.9475,103.2522,113.1136
5280-5760,164.8156,132.5729,105.3721,98.2512,109.3062,91.9207,129.1624,102.9260,116.7909
5760-6240,174.0803,139.0528,107.7615,109.4343,106.7703,87.0628,120.0283,91.4492,116.9549
6240-6720,194.0408,144.2695,100.0089,120.7086,120.0019,78.7667,112.3325,89.7999,119.9911
6720-7200,198.9319,139.5512,96.6533,111.8939,113.9403,85.8822,121.4873,100.1780,121.0647
7200-7680,186.3061,141.2151,81.2309,104.5475,105.1543,85.6986,132.3632,115.4820,118.9997
7680-8160,171.6969,134.0764,98.2206,126.7125,116.8638,89.7622,141.7365,126.2211,125.6612
8160-8640,185.9023,151.2896,111.9968,134.9247,109.5077,85.0972,125.4616,128.9003,129.1350
8640-9120,342.8179,169.1184,120.8740,116.3253,87.6553,91.2885,103.5718,147.7619,147.4266
9120-9600,460.1558,210.7825,130.1748,119.3569,93.4825,90.5063,108.1402,115.7268,166.0407
