,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,168.1245,129.9179,106.8026,102.4943,117.5876,85.2569,110.5045,104.4144,115.6378
2880-3360,163.1529,128.8578,110.1166,99.1350,139.7450,98.1584,112.3442,99.5193,118.8787
3360-3840,180.4539,125.5016,153.8953,101.4305,104.2507,94.6215,109.2297,101.6307,121.3767
3840-4320,174.3923,125.7177,125.5210,103.7780,111.9862,85.9543,76.9677,102.1829,113.3125
4320-4800,185.3108,126.4087,130.6721,102.2677,124.1504,101.3075,83.7124,106.0146,119.9805
4800-5280,184.9414,127.9754,116.7057,97.1521,77.2360,86.1877,106.6509,104.4403,112.6612
5280-5760,181.2729,129.2073,125.4954,97.1832,111.8466,89.3506,126.9201,103.7400,120.6270
5760-6240,183.5938,126.8537,88.1640,99.3122,101.8018,95.3929,118.5281,103.2270,114.6092
6240-6720,199.9256,131.0072,146.2538,95.8822,113.9835,94.2900,110.8324,107.6312,124.9757
6720-7200,192.5749,128.5333,137.3530,105.7279,115.3370,96.0271,115.7455,104.5632,124.4828
7200-7680,251.9126,128.7661,117.4937,96.7181,117.9774,96.1837,125.2956,110.8456,130.6491
7680-8160,226.1457,127.7020,130.5378,102.2458,123.5031,93.6684,136.0154,126.7529,133.3214
8160-8640,189.1043,124.7554,180.9034,100.1490,169.6788,94.7602,141.8985,155.2344,144.5605
8640-9120,171.2791,125.0288,269.3266,126.8582,173.8678,93.5311,270.1595,257.9757,186.0034
9120-9600,214.7424,138.8082,360.2195,221.7141,248.8931,124.4981,371.0008,294.4617,246.7923
