,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,27,53,16,143,16,92,16,110,473
2880-3360,13,60,15,140,9,80,16,96,429
3360-3840,21,57,14,142,18,88,19,95,454
3840-4320,19,54,22,166,18,83,8,80,450
4320-4800,30,52,18,136,18,84,7,110,455
4800-5280,23,69,27,132,9,84,11,111,466
5280-5760,22,67,16,133,16,76,14,98,442
5760-6240,27,68,13,151,16,101,13,120,509
6240-6720,41,79,26,190,31,108,24,169,668
6720-7200,31,88,25,212,26,134,11,154,681
7200-7680,50,87,20,192,32,111,27,173,692
7680-8160,36,94,34,201,33,119,18,185,720
8160-8640,46,108,34,170,39,144,27,201,769
8640-9120,52,131,42,196,40,134,29,202,826
9120-9600,52,114,35,216,34,153,33,198,835
