,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,27,53,16,143,16,92,16,110,473
2880-3360,13,59,15,140,9,80,16,96,428
3360-3840,21,52,14,142,18,88,19,97,451
3840-4320,19,58,21,166,18,81,8,79,450
4320-4800,32,54,19,136,18,85,7,110,461
4800-5280,22,68,27,132,9,85,11,110,464
5280-5760,21,66,19,133,16,76,14,100,445
5760-6240,27,66,16,150,16,101,13,119,508
6240-6720,37,81,25,188,31,109,24,168,663
6720-7200,34,87,26,215,26,136,11,152,687
7200-7680,52,85,20,192,32,108,25,171,685
7680-8160,36,92,29,183,34,119,20,193,706
8160-8640,37,102,39,185,38,135,34,231,801
8640-9120,33,124,40,199,47,137,39,239,858
9120-9600,28,104,31,210,33,156,31,236,829
