,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,27,53,16,143,16,92,16,110,473
2880-3360,13,60,15,140,9,80,16,96,429
3360-3840,21,57,14,142,18,88,19,95,454
3840-4320,19,53,22,166,18,83,9,80,450
4320-4800,30,53,18,136,18,84,6,110,455
4800-5280,23,72,27,132,9,84,11,111,469
5280-5760,22,64,16,133,16,76,14,98,439
5760-6240,27,68,12,151,16,101,13,120,508
6240-6720,40,78,27,190,31,108,24,169,667
6720-7200,33,89,25,212,26,132,11,154,682
7200-7680,42,81,20,192,32,113,26,173,679
7680-8160,42,96,32,199,32,119,19,190,729
8160-8640,38,59,30,169,38,144,27,207,712
8640-9120,24,83,28,179,37,132,30,200,713
9120-9600,42,116,33,128,39,142,18,203,721
