,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,355.5817,40.0579,186.4266,70.5783,54.5792,59.2278,53.2978,23.1224,108.1175
2880-3360,328.5567,34.9900,136.3533,70.3927,42.4941,52.8149,39.8870,34.3272,92.0652
3360-3840,339.9034,49.0582,86.0637,65.0404,65.9532,52.4001,59.1262,47.9037,94.1659
3840-4320,321.4383,39.0933,62.6175,81.6195,61.3063,59.2335,57.4186,41.0655,93.6552
4320-4800,260.0731,49.4513,70.7562,88.4342,55.7069,50.9364,45.2518,38.7954,90.5200
4800-5280,142.0498,43.9854,25.2667,75.8385,34.8725,44.6275,62.0465,48.9932,66.9143
5280-5760,87.8887,46.6376,48.5057,80.1333,20.7955,53.7389,48.8367,36.6919,59.3475
5760-6240,59.0390,53.5511,46.4718,87.8114,51.4226,49.4342,67.0788,43.0065,61.9208
6240-6720,77.3803,41.1017,97.9666,91.5510,49.2574,51.5183,76.6018,42.7235,67.0348
6720-7200,58.3152,50.7312,181.2823,94.1808,61.8277,51.1972,82.6051,43.3028,79.1428
7200-7680,85.1637,47.2454,202.6185,110.4371,40.1260,55.9497,76.0441,47.5141,89.6240
7680-8160,67.9130,45.7992,220.0786,103.6708,45.4415,51.5627,126.9697,46.3277,86.1427
8160-8640,82.1237,49.8435,164.6558,101.1731,79.6251,61.3300,141.4170,52.1527,83.0152
8640-9120,120.7159,52.2307,193.5229,91.0227,47.5835,53.2839,198.2747,88.1711,95.4247
9120-9600,97.6429,44.3313,228.2831,106.4230,48.7503,100.2366,243.2342,107.0505,111.7425
