,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,355.581704,40.057916,186.426631,70.578309,54.579154,59.227765,53.297782,23.122385,108.117468
2880-3360,214.251425,34.941535,102.69332,90.815296,52.929018,61.755573,42.390406,39.991716,93.502584
3360-3840,27.881015,59.864902,21.241751,95.876608,87.067979,58.581854,62.997307,64.677102,63.946479
3840-4320,24.977312,42.275324,23.475924,102.185421,88.243318,74.885127,70.504398,65.493415,64.84121
4320-4800,27.461004,43.163864,39.089244,106.97091,77.578386,71.56736,56.723805,51.200649,65.229789
4800-5280,31.673521,38.915891,27.326028,100.026667,64.621795,62.044283,74.631734,69.746368,59.897749
5280-5760,41.452994,46.812523,18.825906,97.287032,36.96213,56.859504,59.267432,53.39564,58.477944
5760-6240,19.650095,61.62005,15.767823,102.823274,67.579698,54.784139,80.787423,56.321586,61.025063
6240-6720,33.574434,51.989572,27.340982,97.79461,40.76234,50.139948,108.850012,55.010855,61.873591
6720-7200,46.824355,61.43335,63.416423,97.991408,63.056558,50.343252,89.737843,45.153914,67.580275
7200-7680,62.928696,64.448962,78.427948,100.93114,39.854422,56.574251,67.128876,49.302505,72.91835
7680-8160,49.777812,76.43874,37.597712,100.214302,45.444553,82.844976,58.408876,47.921792,68.887515
8160-8640,58.111159,69.286768,54.665134,105.01535,76.277534,136.043294,90.934863,45.35656,81.498958
8640-9120,51.126388,65.513044,76.652101,102.392113,45.205056,50.879458,136.016376,59.027105,73.468657
9120-9600,51.955037,65.923164,76.028434,108.610399,48.37081,85.180669,235.526994,62.25275,86.26333
