,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,221.7352,221.7231,143.4024,143.5873,25.5282,26.1744,14.8854,14.8835,101.4899
2880-3360,257.4832,257.4712,74.0927,74.2776,25.0227,25.5772,17.6744,17.6724,93.6589
3360-3840,255.1719,255.1599,59.2156,59.3963,27.4392,27.6936,30.5014,30.5201,93.1373
3840-4320,251.9699,251.9579,55.2218,55.4067,27.2822,27.9924,18.6847,18.6827,88.3998
4320-4800,189.1533,189.1413,55.5548,55.7366,22.6249,23.7291,19.5034,19.5014,71.8681
4800-5280,104.0257,104.0136,41.4685,41.6534,14.5050,16.3146,22.1454,22.1432,45.7837
5280-5760,59.6338,59.6217,40.9931,41.1719,19.9614,20.4916,22.2496,22.2682,35.7989
5760-6240,62.6930,62.6810,50.6128,51.0008,22.8463,23.1258,27.1667,27.1645,40.9114
6240-6720,66.5561,66.5441,143.0021,143.1871,27.7291,28.0350,43.0122,43.0098,70.1344
6720-7200,73.7219,73.7099,228.1468,228.3317,33.2337,33.4922,47.4078,47.4054,95.6812
7200-7680,79.7021,79.6901,287.0825,287.2674,27.6464,27.9055,53.4592,53.4751,112.0285
7680-8160,73.6574,73.6454,215.4711,215.6560,38.7581,39.0395,79.5897,79.5872,101.9256
8160-8640,108.2664,108.2544,253.6465,253.8314,48.9360,49.3349,103.7127,103.7103,128.7116
8640-9120,165.1714,165.1594,243.0301,243.2615,48.8474,49.1171,170.7480,170.7456,157.0101
9120-9600,87.6567,87.6447,300.9896,301.1745,110.5577,110.8934,230.0749,230.0725,182.3830
