,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,221.7352,221.7231,143.4024,143.5873,25.5282,26.1744,14.8854,14.8835,101.4899
2880-3360,255.5553,255.5432,52.7588,53.5254,30.5941,31.3153,19.4584,19.4561,89.7758
3360-3840,154.6477,154.7708,24.4654,27.0384,29.2359,29.9440,34.6980,34.6956,61.1870
3840-4320,56.1848,56.1728,33.8205,34.0146,29.2045,29.7200,23.7033,23.7010,35.8152
4320-4800,53.4632,53.7016,40.7344,41.1110,26.8291,27.4540,22.2537,22.2516,35.9748
4800-5280,61.4850,61.4730,35.2705,35.4554,19.2542,20.5477,26.6077,26.6053,35.8374
5280-5760,47.2989,47.2873,28.8715,29.0314,21.9073,23.8017,26.8906,26.9089,31.4997
5760-6240,44.1472,44.3202,35.7886,35.9585,28.9006,29.3645,32.5266,32.5242,35.4413
6240-6720,49.2955,49.2835,68.5748,68.7598,31.9744,32.6770,54.4719,54.4694,51.1883
6720-7200,67.3029,67.8541,127.3460,127.5309,41.8632,42.1281,53.8041,53.8017,72.7039
7200-7680,85.3473,85.3353,230.8571,231.0420,29.7954,30.2656,52.7711,52.7687,99.7728
7680-8160,117.9021,117.8901,133.2466,133.5467,53.7832,54.0646,57.8126,57.8103,90.7570
8160-8640,208.7480,208.7360,58.2448,58.4147,109.2953,109.5767,70.4257,70.4233,111.7331
8640-9120,285.5034,285.4914,68.2463,68.6527,59.3907,59.6516,103.9732,103.9707,129.3600
9120-9600,246.1822,246.1702,183.6721,183.9064,68.0858,68.4038,222.5819,222.5795,180.1977
