,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,221.7352,221.7231,143.4024,143.5873,25.5282,26.1744,14.8854,14.8835,101.4899
2880-3360,257.4832,257.4712,74.0927,74.2776,25.0227,25.5772,17.6744,17.6724,93.6589
3360-3840,256.0363,256.0243,58.0950,58.2749,27.5399,27.7938,30.2357,30.2544,93.0318
3840-4320,258.2693,258.2573,66.2927,66.4776,26.4192,27.0351,18.3338,18.3319,92.4271
4320-4800,230.9623,230.9503,94.1544,94.3393,21.3376,22.4477,18.5918,18.5898,91.4216
4800-5280,208.2270,208.2150,61.3438,61.5287,13.6531,15.7438,21.4028,21.4006,76.4393
5280-5760,213.8540,213.8419,54.9402,55.1251,21.0288,21.6418,20.8321,20.8705,77.7668
5760-6240,232.4700,232.4579,67.3023,67.4872,24.8308,25.3425,25.5152,25.5132,87.6149
6240-6720,248.3283,248.3163,194.3526,194.5376,28.0320,29.4230,39.2353,39.2329,127.6822
6720-7200,283.7847,283.7727,310.7743,310.9592,34.3302,34.5858,43.0719,43.0696,168.0435
7200-7680,326.4259,326.4139,419.0350,419.2199,27.5614,27.9915,52.1638,52.1615,206.3716
7680-8160,328.5725,328.5605,498.9342,499.0673,35.2933,35.8802,55.4890,55.4865,229.6604
8160-8640,427.4091,427.3971,497.7213,497.8357,45.3382,45.7642,70.0976,70.0952,260.2073
8640-9120,502.9342,502.9371,503.4698,503.4858,46.2960,46.5610,107.7931,107.7906,290.1584
9120-9600,503.5128,503.5008,503.3763,503.4702,72.0725,72.4028,133.4751,133.4390,303.1562
