,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,405.6482,90.3246,256.6262,140.0223,121.0716,115.6586,116.8214,87.8567,166.7537
2880-3360,378.6513,85.2266,205.0734,140.4054,94.3766,106.5028,100.6868,98.6861,151.2011
3360-3840,388.8065,99.2616,156.4344,134.6645,119.8834,106.9879,126.0067,111.1853,155.4038
3840-4320,371.0743,88.2156,131.4901,151.7660,118.9135,113.7469,119.5286,104.8159,149.9439
4320-4800,311.2250,98.3729,138.4298,159.7220,111.5828,105.4517,107.3629,101.8494,141.7496
4800-5280,190.9088,94.7201,93.9992,146.2159,89.8087,97.5657,123.3684,113.4127,118.7499
5280-5760,137.7369,96.4700,115.9615,150.4196,73.1169,109.0794,111.5935,100.3910,111.8461
5760-6240,108.7422,103.7079,118.0183,157.2549,104.8279,103.1131,130.8724,107.7207,116.7822
6240-6720,126.8370,90.5958,166.6158,161.9042,103.8847,105.6278,138.6725,107.6722,125.2262
6720-7200,107.7085,100.1531,249.0706,163.1478,118.9667,106.9578,146.5661,107.3188,137.4862
7200-7680,134.3902,96.2692,271.6105,179.8813,93.0906,110.5838,139.3853,113.5305,142.3427
7680-8160,117.5261,95.8122,289.5934,173.7318,97.5761,106.1913,189.7215,111.4574,147.7012
8160-8640,132.2687,99.9267,234.2802,169.9859,133.9627,116.3529,206.2505,116.7278,151.2194
8640-9120,170.4084,101.3555,263.2920,161.5934,100.2147,109.4770,261.2889,153.4856,165.1394
9120-9600,147.1788,94.2978,296.7965,175.8936,103.1179,154.9293,306.5355,172.0463,181.3495
