,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,405.6482,90.3246,256.6262,140.0223,121.0716,115.6586,116.8214,87.8567,166.7537
2880-3360,251.4241,86.6372,160.2936,162.5152,109.5426,120.2354,102.7006,104.8382,137.2734
3360-3840,70.5332,100.6657,82.7109,168.2170,142.4085,118.2387,131.4991,123.7062,117.2474
3840-4320,73.3198,96.2227,83.6984,170.3216,145.4475,126.3096,139.9718,129.1361,120.5535
4320-4800,78.3212,101.6438,93.1722,176.1156,131.6908,124.0584,126.1531,122.0063,119.1452
4800-5280,88.1910,98.0151,87.4315,157.4758,119.9534,114.0499,135.7932,138.9368,117.4808
5280-5760,98.9364,96.6510,82.9896,167.0894,82.2815,108.0975,119.8148,113.8248,108.7106
5760-6240,76.3480,108.7639,95.6013,178.5759,120.0616,112.4506,142.0090,123.8318,119.7053
6240-6720,81.9432,104.7000,86.0244,171.9903,100.0040,109.8003,152.6684,118.1432,115.6592
6720-7200,95.6330,113.5689,122.7679,168.7053,116.9902,104.0734,140.7072,109.0327,121.4348
7200-7680,107.1729,109.5709,143.8990,170.7174,97.0283,118.0982,134.0271,120.6846,125.1498
7680-8160,94.0241,115.6862,107.1477,168.8616,100.5760,121.4373,126.4288,113.7810,118.4928
8160-8640,110.8883,114.8615,146.0180,176.7312,126.0091,139.6340,144.9017,106.7445,133.2235
8640-9120,118.5312,124.1918,145.1452,179.2244,96.1695,108.1067,179.5480,113.1476,133.0081
9120-9600,107.1106,111.5318,148.6611,186.8468,97.9181,132.6619,238.7476,113.9349,142.1766
