,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,405.6482,90.3246,256.6262,140.0223,121.0716,115.6586,116.8214,87.8567,166.7537
2880-3360,378.6513,85.2266,205.0734,140.4054,94.3766,106.5028,100.6868,98.6861,151.2011
3360-3840,396.8095,97.3967,156.4672,132.7480,119.1883,106.3218,125.6707,110.6093,155.6514
3840-4320,394.5029,87.7913,154.4562,145.7537,117.0802,109.8383,118.0947,103.6124,153.8912
4320-4800,385.4094,95.5533,223.0401,151.2201,109.7938,103.2168,105.3110,99.8480,159.1741
4800-5280,333.7338,91.7848,157.0315,136.6122,87.4384,95.9081,119.8558,113.9995,142.0455
5280-5760,336.7732,93.2030,162.9413,132.6138,69.9613,113.9824,107.5674,96.9331,139.2469
5760-6240,332.7150,103.7069,159.0287,136.6094,115.1491,107.7771,126.4622,103.5460,148.1243
6240-6720,375.5044,89.8010,233.8517,148.0186,99.3371,104.1305,119.6150,107.3205,159.6973
6720-7200,389.1892,100.9459,423.3522,166.3583,113.6575,109.7964,136.4483,101.5577,192.6632
7200-7680,446.1363,112.9797,534.9987,269.7768,95.9385,109.0223,130.7102,113.0146,226.5721
7680-8160,576.1274,101.1795,619.3749,428.9990,88.4521,102.4885,127.4892,109.0497,269.1450
8160-8640,583.4082,239.6997,750.9619,460.3187,127.1918,111.0298,145.8281,112.2656,316.3380
8640-9120,652.7136,460.5970,773.1608,574.2763,94.7208,107.4474,170.5281,141.9831,371.9284
9120-9600,689.3509,324.6440,948.7130,706.6501,96.7317,119.5615,208.8509,126.7972,402.6624
