,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,43,71,44,91,1,48,10,34,342
2880-3360,43,78,44,136,6,48,11,34,400
3360-3840,48,65,38,114,10,47,18,51,391
3840-4320,48,77,47,132,6,46,12,28,396
4320-4800,51,71,50,109,5,45,12,39,382
4800-5280,56,88,37,99,5,30,12,36,363
5280-5760,47,95,46,93,6,36,11,45,379
5760-6240,49,85,45,110,8,43,15,40,395
6240-6720,56,114,55,131,8,59,31,73,527
6720-7200,60,116,66,134,10,66,29,64,545
7200-7680,65,106,67,151,17,47,35,72,560
7680-8160,68,130,67,146,15,72,42,92,632
8160-8640,63,140,67,142,13,95,40,116,676
8640-9120,71,166,68,132,16,93,46,105,697
9120-9600,73,145,70,155,22,111,50,94,720
