,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,43,71,44,91,1,48,10,34,342
2880-3360,76,78,51,123,6,50,12,38,434
3360-3840,50,65,34,117,10,47,17,48,388
3840-4320,42,77,52,135,6,46,11,29,398
4320-4800,49,71,42,111,5,44,13,38,373
4800-5280,49,88,46,103,5,30,12,36,369
5280-5760,37,95,37,93,6,36,11,45,360
5760-6240,55,84,46,108,8,43,14,40,398
6240-6720,51,112,68,130,8,59,32,74,534
6720-7200,62,119,73,135,10,66,29,63,557
7200-7680,63,106,78,157,17,45,37,72,575
7680-8160,67,122,52,136,15,67,45,95,599
8160-8640,67,142,76,144,13,99,42,119,702
8640-9120,80,160,76,135,16,96,47,104,714
9120-9600,60,156,78,152,22,121,47,108,744
