,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,43,71,44,91,1,48,10,34,342
2880-3360,43,78,44,136,6,48,11,34,400
3360-3840,46,65,38,114,10,47,18,51,389
3840-4320,45,77,41,131,6,46,12,28,386
4320-4800,41,70,47,109,5,45,12,39,368
4800-5280,45,90,43,102,5,29,12,36,362
5280-5760,43,94,46,91,6,37,11,45,373
5760-6240,45,86,41,117,8,43,15,40,395
6240-6720,45,113,45,129,8,58,31,72,501
6720-7200,45,113,46,123,10,66,29,65,497
7200-7680,45,106,47,99,17,47,38,71,470
7680-8160,45,123,45,106,15,72,44,95,545
8160-8640,46,58,45,143,13,94,42,107,548
8640-9120,45,118,43,108,16,95,50,114,589
9120-9600,45,155,45,95,22,126,44,99,631
