Reward Definition 1-avg,Reward Definition 2-avg,Reward Definition 3-avg,Reward Definition 1-sd,Reward Definition 2-sd,Reward Definition 3-sd
71.8831352,78.27746832,77.77073844,1.599298332,3.716885364,3.515685394
71.05892399,76.51689978,76.48776847,0.605758103,7.269180122,7.243425038
70.35426099,74.61781662,74.5573175,0.976415909,10.60797322,10.55446771
70.20945462,72.49219293,72.88108762,1.978070465,13.13011907,13.45770959
70.47427437,70.34293935,71.19341251,2.871332538,15.68931618,16.38080098
69.97794673,68.03979466,68.41343154,3.615477965,19.6693015,19.96674967
69.78650435,68.49100251,68.58282055,3.975168135,20.9288737,21.00889643
69.44989459,67.74464168,68.55990472,4.49435005,19.22224128,19.85411895
70.31470006,69.87803906,70.10420991,3.101811695,15.86219564,16.02738531
69.04705606,69.15084763,70.53285601,5.12152679,15.38674091,16.36162857
71.04516832,68.64522511,70.53285601,0.874981067,15.10931149,16.36162857
71.0158074,68.03916332,69.29082363,0.918277659,14.83817393,15.47142841
71.08409853,67.24494223,70.08150849,0.921048238,14.54803313,16.00197649
71.06505152,67.38518454,70.16170241,0.891348181,14.517497,15.92810373
71.07666996,67.98214374,69.55242418,0.873692919,14.36365943,15.45290824
71.06467459,67.68175471,67.84001769,0.919644976,13.95314664,14.1225724
71.03394316,64.32651735,65.89679778,0.891439817,11.21829224,13.24948366
70.95989595,62.44233809,64.01261853,1.002690984,10.76089056,13.20498284
70.97512741,60.01709985,61.47613682,1.003975735,9.080233807,11.45024414
71.04676216,59.04111352,58.49031404,1.019195782,11.12240921,10.17256056
71.1324278,57.46625111,56.19325427,0.880700551,12.51703955,10.32820036
70.39364283,55.69417526,55.10729887,0.560140849,14.57296272,13.60111003
71.07492251,57.70705554,57.12623886,0.831977551,12.30666236,11.3046961
70.37308672,55.6985731,54.38094848,0.680496611,14.64246713,12.46656784
70.03984628,55.6962829,55.08636107,1.244527304,14.61705136,13.60603516
69.00785787,55.7308351,55.12091328,2.629811202,14.60293948,13.59319926
68.2022058,55.71995302,55.09733523,4.096153578,14.63364957,13.60193112
67.46430119,56.84368954,56.22107175,5.23168765,13.31494276,12.25787527
67.11015431,57.77862802,57.15601023,5.842242231,12.31454774,11.24109512
67.42621326,55.71995302,55.09733523,5.297320261,14.63364957,13.60193112
67.77410844,55.73148517,55.10886738,4.698183252,14.62893016,13.5976457
67.80225536,55.74353107,53.15475565,4.717834202,14.62402802,10.40148902
67.77410844,55.7560656,51.31489911,4.698183252,14.61895689,7.568174448
67.94113163,55.73148517,49.57401113,4.478662332,14.62893016,5.325754452
67.34818809,57.38013306,47.20608238,5.500659435,17.38733419,4.187543263
67.99865036,57.36860091,45.4877333,4.519663045,17.39294482,5.511730106
67.83081855,57.34722099,45.16118111,4.73820527,17.40340246,5.841908523
67.77410844,57.34722099,45.02493581,4.698183252,17.40340246,6.013294112
67.42621326,57.34722099,45.68526625,5.297320261,17.40340246,5.229768641
67.45732162,57.35762675,45.03748076,5.328989613,17.39830359,6.027777052
67.45732162,57.34722099,45.027075,5.328989613,17.40340246,6.010569358
66.87723451,57.34722099,45.68526625,6.481011878,17.40340246,5.229768641
66.23128808,57.34722099,45.68526625,7.594828576,17.40340246,5.229768641
65.44538728,57.34722099,45.18643989,8.951651239,17.40340246,5.810632664
66.06829238,57.34722099,45.68526625,7.876108651,17.40340246,5.229768641
66.55582402,57.34722099,45.68526625,7.035027427,17.40340246,5.229768641
66.55582402,57.34722099,45.027075,7.035027427,17.40340246,6.010569358
66.55582402,57.34722099,45.02493581,7.035027427,17.40340246,6.013294112
66.55582402,57.34722099,45.02493581,7.035027427,17.40340246,6.013294112
66.55582402,57.82787881,45.62591117,7.035027427,16.84074862,5.717253293
66.55582402,59.56457113,47.36260349,7.035027427,15.01820554,6.180279866
66.58397094,59.56457113,47.36260349,7.055460117,15.01820554,6.180279866
65.86030725,59.56457113,47.36260349,6.62475174,15.01820554,6.180279866
65.85902544,59.56457113,47.36260349,6.624174413,15.01820554,6.180279866
66.2114982,59.56457113,47.36260349,6.808403599,15.01820554,6.180279866
66.2114982,59.56457113,47.36260349,6.808403599,15.01820554,6.180279866
66.2114982,59.56457113,47.36260349,6.808403599,15.01820554,6.180279866
65.72396656,59.56457113,47.36260349,7.641480678,15.01820554,6.180279866
65.66892507,59.56457113,47.36260349,7.60166609,15.01820554,6.180279866
64.85104201,59.56457113,47.36260349,7.29575903,15.01820554,6.180279866
65.32802726,59.56457113,47.36260349,7.421921028,15.01820554,6.180279866
65.01938438,59.56457113,47.36260349,7.942061687,15.01820554,6.180279866
65.32204505,59.56457113,47.36260349,7.372360015,15.01820554,6.180279866
65.35609184,59.56457113,47.36260349,7.435614625,15.01820554,6.180279866
